City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
84,Mahebourg,MU,2021-10-24 21:57:27,-20.4081,57.7,75.25,78,40,11.5,scattered clouds
85,Eureka,US,2021-10-24 21:55:26,40.8021,-124.1637,58.39,73,100,5.99,overcast clouds
86,Daru,PG,2021-10-24 21:56:07,-9.0763,143.2092,82.27,81,95,10.18,overcast clouds
87,Male,MV,2021-10-24 21:57:27,4.1748,73.5089,82.35,83,75,11.5,broken clouds
88,Catamarca,AR,2021-10-24 21:53:30,-28.4696,-65.7852,83.77,43,0,8.99,clear sky
89,Abnub,EG,2021-10-24 21:57:28,27.2696,31.1511,68.74,49,0,8.25,clear sky
90,Kabare,CD,2021-10-24 21:57:28,-2.4683,28.8242,62.71,89,99,0.81,overcast clouds
91,Makakilo City,US,2021-10-24 21:57:29,21.3469,-158.0858,81.61,61,75,12.66,broken clouds
92,Upernavik,GL,2021-10-24 21:53:50,72.7868,-56.1549,15.93,67,89,8.21,overcast clouds
93,Bethel,US,2021-10-24 21:54:40,41.3712,-73.414,56.23,75,94,3.4,overcast clouds
94,Copiapo,CL,2021-10-24 21:57:30,-27.3667,-70.3333,56.89,27,0,6.24,clear sky
95,Rawson,AR,2021-10-24 21:57:30,-43.3002,-65.1023,82.69,20,40,28.77,dust
96,Bull Savanna,JM,2021-10-24 21:57:31,17.8868,-77.5902,81.09,74,34,12.26,scattered clouds
97,Sao Filipe,CV,2021-10-24 21:57:31,14.8961,-24.4956,78.44,72,44,10.51,scattered clouds
98,Tema,GH,2021-10-24 21:57:32,5.667,-0.0166,79.21,89,20,5.75,few clouds
99,Butaritari,KI,2021-10-24 21:56:06,3.0707,172.7902,81.48,72,48,3.24,scattered clouds
100,San Patricio,US,2021-10-24 21:57:33,28.017,-97.5169,92.12,55,10,12.75,clear sky
101,Oussouye,SN,2021-10-24 21:57:33,12.485,-16.5469,84.38,82,97,3.76,overcast clouds
102,Dubbo,AU,2021-10-24 21:57:32,-32.25,148.6167,55.53,54,0,6.91,clear sky
103,Yebaishou,CN,2021-10-24 21:57:34,41.3975,119.6408,44.04,65,85,3.09,overcast clouds
104,Japura,ID,2021-10-24 21:57:34,-0.3167,102.35,73.47,99,100,3.36,overcast clouds
105,Airai,TL,2021-10-24 21:57:34,-8.9266,125.4092,63.37,75,98,1.28,overcast clouds
106,Wembley,AU,2021-10-24 21:57:35,-31.9333,115.8,62.69,92,75,5.75,light rain
107,Comodoro Rivadavia,AR,2021-10-24 21:56:13,-45.8667,-67.5,67.86,32,100,56.39,overcast clouds
108,Kargasok,RU,2021-10-24 21:57:35,59.0556,80.8572,38.44,94,100,5.46,overcast clouds
109,Praia Da Vitoria,PT,2021-10-24 21:53:06,38.7333,-27.0667,66.45,82,40,9.46,scattered clouds
110,Itoman,JP,2021-10-24 21:56:21,26.1247,127.6694,75.22,73,20,10.36,few clouds
111,Lebu,CL,2021-10-24 21:56:00,-37.6167,-73.65,55.87,83,5,9.4,clear sky
112,Sangmelima,CM,2021-10-24 21:57:37,2.9333,11.9833,68.05,99,58,1.01,light rain
113,Kahului,US,2021-10-24 21:56:41,20.8947,-156.47,84.97,78,84,11.01,broken clouds
114,Harper,LR,2021-10-24 21:53:53,4.375,-7.7169,77.58,83,100,7.18,overcast clouds
115,Chihuahua,MX,2021-10-24 21:57:37,28.5,-106.0,85.3,23,0,5.88,clear sky
