City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
144,Kanye,BW,2021-10-18 03:11:16,-24.9667,25.3327,51.04,16,81,9.19
145,Bitung,ID,2021-10-18 03:11:16,1.4451,125.1824,90.45,68,43,6.2
146,Ganzhou,CN,2021-10-18 03:11:17,28.8184,115.4327,54.77,77,98,0.74
147,Wajima,JP,2021-10-18 03:11:18,37.4,136.9,58.06,60,76,10.13
148,Acarau,BR,2021-10-18 03:11:19,-2.8856,-40.12,79.75,84,38,16.44
149,Gat,IL,2021-10-18 03:11:19,31.61,34.7642,68.68,78,75,2.06
150,Vila,PT,2021-10-18 03:11:20,42.0304,-8.1588,58.08,94,100,3.87
151,Hami,CN,2021-10-18 03:11:20,42.8,93.45,56.7,19,0,9.4
152,Labrea,BR,2021-10-18 03:11:21,-7.2586,-64.7981,73.65,94,90,2.44
153,Kimbe,PG,2021-10-18 03:11:21,-5.5502,150.1429,85.59,73,65,4.45
154,Cherskiy,RU,2021-10-18 03:11:22,68.75,161.3,-5.98,100,91,0.74
155,Yerbogachen,RU,2021-10-18 03:11:22,61.2767,108.0108,32.41,83,100,12.01
156,Mar Del Plata,AR,2021-10-18 03:07:38,-38.0023,-57.5575,52.88,7,0,11.01
157,Zheleznodorozhnyy,RU,2021-10-18 03:11:23,55.7503,38.0042,43.21,78,100,8.86
158,Gwadar,PK,2021-10-18 03:11:23,25.1216,62.3254,79.9,44,0,2.91
159,Ilulissat,GL,2021-10-18 03:11:24,69.2167,-51.1,17.62,29,1,34.52
160,Arlit,NE,2021-10-18 03:11:25,18.7369,7.3853,85.01,28,92,6.02
161,Okrika,NG,2021-10-18 03:11:25,4.7416,7.0849,75.24,92,99,2.71
162,Provideniya,RU,2021-10-18 03:11:26,64.3833,-173.3,26.71,59,90,4.47
163,Ishigaki,JP,2021-10-18 03:11:26,24.3448,124.1572,76.71,66,89,18.23
164,Codrington,AU,2021-10-18 03:11:27,-38.2667,141.9667,58.64,68,91,15.43
165,Jatai,BR,2021-10-18 03:11:27,-17.8814,-51.7144,72.16,85,52,2.04
166,Rock Sound,BS,2021-10-18 03:09:45,24.9,-76.2,81.03,70,8,9.69
167,Itarema,BR,2021-10-18 03:11:28,-2.9248,-39.9167,79.68,83,42,16.37
168,Jinchang,CN,2021-10-18 03:11:28,38.4953,102.1739,51.4,24,42,3.2
169,Peno,RU,2021-10-18 03:11:29,56.9262,32.7426,37.31,89,87,7.09
170,Sao Filipe,CV,2021-10-18 03:11:29,14.8961,-24.4956,78.53,75,0,9.28
171,Kamskiye Polyany,RU,2021-10-18 03:11:30,55.4307,51.4171,47.21,87,100,8.08
172,Touros,BR,2021-10-18 03:11:30,-5.1989,-35.4608,76.1,79,39,12.03
173,Roma,US,2021-10-18 03:07:55,43.2128,-75.4557,49.39,93,75,0.0
174,Herat,AF,2021-10-18 03:11:31,34.5,62.0,50.52,18,0,2.53
175,Leh,IN,2021-10-18 03:11:32,34.1667,77.5833,42.08,70,100,2.46
176,Muroto,JP,2021-10-18 03:11:32,33.2833,134.15,65.28,55,88,8.75
177,Sioux Lookout,CA,2021-10-18 03:11:33,50.1001,-91.917,43.47,71,1,3.87
178,Lawrenceburg,US,2021-10-18 03:11:33,38.0373,-84.8966,54.07,88,1,0.0
179,Esperance,AU,2021-10-18 03:11:07,-33.8667,121.9,69.42,64,0,10.47
180,Upernavik,GL,2021-10-18 03:11:34,72.7868,-56.1549,22.55,50,41,5.1
181,Mitsamiouli,KM,2021-10-18 03:11:34,-11.3847,43.2844,77.23,77,32,14.85
182,Ilhabela,BR,2021-10-18 03:11:35,-23.7781,-45.3581,68.05,94,100,6.38
183,Bengkulu,ID,2021-10-18 03:11:35,-3.8004,102.2655,75.74,92,100,4.92
184,Nokaneng,BW,2021-10-18 03:11:36,-19.6667,22.2667,69.03,8,34,11.88
185,Dzheguta,RU,2021-10-18 03:11:36,43.9671,42.0426,51.03,95,100,2.59
186,Tasiilaq,GL,2021-10-18 03:11:36,65.6145,-37.6368,26.76,43,70,15.19
187,Churapcha,RU,2021-10-18 03:11:37,62.0025,132.4325,16.5,74,99,7.0
188,Carmen,MX,2021-10-18 03:10:12,18.6333,-91.8333,84.24,70,75,11.5
189,Daru,PG,2021-10-18 03:11:37,-9.0763,143.2092,86.94,65,49,8.34
190,Gizo,SB,2021-10-18 03:11:38,-8.103,156.8419,85.39,65,100,1.92
191,Basco,PH,2021-10-18 03:11:39,20.4487,121.9702,80.53,76,95,26.08
192,Las Vigas,MX,2021-10-18 03:11:39,19.6333,-97.0833,47.44,98,100,3.62
193,Walvis Bay,NA,2021-10-18 03:11:40,-22.9575,14.5053,54.09,88,0,6.13
194,Mackay,AU,2021-10-18 03:11:40,-21.15,149.2,86.04,74,11,18.07
195,Cabo San Lucas,MX,2021-10-18 03:09:58,22.8909,-109.9124,81.7,80,5,11.77
196,Salalah,OM,2021-10-18 03:11:41,17.0151,54.0924,75.29,73,0,2.3
197,Muros,ES,2021-10-18 03:11:41,42.7762,-9.0603,68.99,95,100,9.84
198,Atar,MR,2021-10-18 03:11:42,20.5169,-13.0499,85.64,11,100,3.04
199,Kruisfontein,ZA,2021-10-18 03:11:42,-34.0033,24.7314,48.88,81,87,6.46
200,Vila Velha,BR,2021-10-18 03:11:43,-20.3297,-40.2925,73.35,78,90,4.61
